goos: darwin
goarch: amd64
pkg: github.com/grafana/tempo/tempodb/encoding/vparquet4
cpu: Intel(R) Core(TM) i9-9980HK CPU @ 2.40GHz
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       1	2031107128 ns/op	        34.27 MB_IO/op	   6217162 spans/op	   3060973 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       1	2077315484 ns/op	        34.27 MB_IO/op	   6217162 spans/op	   2992883 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       1	1934830603 ns/op	        34.27 MB_IO/op	   6217162 spans/op	   3213286 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       1	1974439790 ns/op	        34.27 MB_IO/op	   6217162 spans/op	   3148824 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       1	2036457390 ns/op	        34.27 MB_IO/op	   6217162 spans/op	   3052931 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       1	1930766183 ns/op	        34.27 MB_IO/op	   6217162 spans/op	   3220050 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       1	2034879504 ns/op	        34.27 MB_IO/op	   6217162 spans/op	   3055298 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       1	1965255640 ns/op	        34.27 MB_IO/op	   6217162 spans/op	   3163539 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       1	1942357068 ns/op	        34.27 MB_IO/op	   6217162 spans/op	   3200834 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       1	2082659818 ns/op	        34.27 MB_IO/op	   6217162 spans/op	   2985203 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(name)/5       	     254	   4703347 ns/op	         2.269 MB_IO/op	       130.9 spans/op	     27830 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(name)/5       	     249	   5034062 ns/op	         2.269 MB_IO/op	       130.9 spans/op	     26009 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(name)/5       	     253	   4725761 ns/op	         2.269 MB_IO/op	       130.9 spans/op	     27699 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(name)/5       	     252	   4726117 ns/op	         2.269 MB_IO/op	       130.9 spans/op	     27699 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(name)/5       	     255	   5069237 ns/op	         2.269 MB_IO/op	       130.9 spans/op	     25820 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(name)/5       	     253	   4697130 ns/op	         2.269 MB_IO/op	       130.9 spans/op	     27868 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(name)/5       	     249	   4757191 ns/op	         2.269 MB_IO/op	       130.9 spans/op	     27523 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(name)/5       	     205	   6296436 ns/op	         2.269 MB_IO/op	       131.3 spans/op	     20860 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(name)/5       	     218	   5317551 ns/op	         2.269 MB_IO/op	       131.2 spans/op	     24674 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(name)/5       	     222	   5175264 ns/op	         2.269 MB_IO/op	       131.2 spans/op	     25345 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(resource.service.name)/5       	       1	2524619099 ns/op	        34.65 MB_IO/op	   6217162 spans/op	   2462614 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(resource.service.name)/5       	       1	2585445674 ns/op	        34.65 MB_IO/op	   6217162 spans/op	   2404677 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(resource.service.name)/5       	       1	2526629196 ns/op	        34.65 MB_IO/op	   6217162 spans/op	   2460655 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(resource.service.name)/5       	       1	2545383517 ns/op	        34.65 MB_IO/op	   6217162 spans/op	   2442525 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(resource.service.name)/5       	       1	2669167714 ns/op	        34.65 MB_IO/op	   6217162 spans/op	   2329252 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(resource.service.name)/5       	       1	2534356606 ns/op	        34.65 MB_IO/op	   6217162 spans/op	   2453152 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(resource.service.name)/5       	       1	2590091872 ns/op	        34.65 MB_IO/op	   6217162 spans/op	   2400364 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(resource.service.name)/5       	       1	2550309175 ns/op	        34.65 MB_IO/op	   6217162 spans/op	   2437808 spans/s
