goos: darwin
goarch: amd64
pkg: github.com/grafana/tempo/tempodb/encoding/vparquet4
cpu: Intel(R) Core(TM) i9-9980HK CPU @ 2.40GHz
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       5	 205075918 ns/op	         3.741 MB_IO/op	    623220 spans/op	   3038973 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       6	 191171448 ns/op	         3.733 MB_IO/op	    623220 spans/op	   3260007 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       5	 215524348 ns/op	         3.741 MB_IO/op	    623220 spans/op	   2891646 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       6	 206748929 ns/op	         3.733 MB_IO/op	    623220 spans/op	   3014382 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       6	 190948522 ns/op	         3.733 MB_IO/op	    623220 spans/op	   3263813 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       6	 197046988 ns/op	         3.733 MB_IO/op	    623220 spans/op	   3162801 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       6	 347205025 ns/op	         3.733 MB_IO/op	    623220 spans/op	   1794963 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       5	 239390298 ns/op	         3.741 MB_IO/op	    623220 spans/op	   2603365 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       5	 223342756 ns/op	         3.741 MB_IO/op	    623220 spans/op	   2790421 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       6	 194296910 ns/op	         3.733 MB_IO/op	    623220 spans/op	   3207567 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.status_code)/5       	       3	 446083481 ns/op	         3.984 MB_IO/op	    623220 spans/op	   1397093 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.status_code)/5       	       3	 433469167 ns/op	         3.984 MB_IO/op	    623220 spans/op	   1437750 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.status_code)/5       	       3	 447345008 ns/op	         3.984 MB_IO/op	    623220 spans/op	   1393153 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.status_code)/5       	       3	 458686468 ns/op	         3.984 MB_IO/op	    623220 spans/op	   1358706 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.status_code)/5       	       3	 436227274 ns/op	         3.984 MB_IO/op	    623220 spans/op	   1428659 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.status_code)/5       	       3	 448679535 ns/op	         3.984 MB_IO/op	    623220 spans/op	   1389010 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.status_code)/5       	       3	 459408719 ns/op	         3.984 MB_IO/op	    623220 spans/op	   1356570 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.status_code)/5       	       3	 445962765 ns/op	         3.984 MB_IO/op	    623220 spans/op	   1397471 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.status_code)/5       	       3	 442519190 ns/op	         3.984 MB_IO/op	    623220 spans/op	   1408346 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.status_code)/5       	       3	 436387985 ns/op	         3.984 MB_IO/op	    623220 spans/op	   1428133 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(resource.service.name)/5       	       5	 241249285 ns/op	         3.763 MB_IO/op	    623220 spans/op	   2583304 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(resource.service.name)/5       	       5	 242612889 ns/op	         3.763 MB_IO/op	    623220 spans/op	   2568784 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(resource.service.name)/5       	       5	 247305885 ns/op	         3.763 MB_IO/op	    623220 spans/op	   2520038 spans/s
