goos: darwin
goarch: amd64
pkg: github.com/grafana/tempo/tempodb/encoding/vparquet4
cpu: Intel(R) Core(TM) i9-9980HK CPU @ 2.40GHz
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       6	 197169097 ns/op	         3.733 MB_IO/op	    623220 spans/op	   3160841 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       6	 197052472 ns/op	         3.733 MB_IO/op	    623220 spans/op	   3162712 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       5	 202496425 ns/op	         3.741 MB_IO/op	    623220 spans/op	   3077685 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       5	 206059946 ns/op	         3.741 MB_IO/op	    623220 spans/op	   3024461 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       6	 193655832 ns/op	         3.733 MB_IO/op	    623220 spans/op	   3218185 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       6	 295780132 ns/op	         3.733 MB_IO/op	    623220 spans/op	   2107039 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       5	 212697040 ns/op	         3.741 MB_IO/op	    623220 spans/op	   2930085 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       5	 222971591 ns/op	         3.741 MB_IO/op	    623220 spans/op	   2795066 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       6	 200475079 ns/op	         3.733 MB_IO/op	    623220 spans/op	   3108717 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()/5       	       6	 197858428 ns/op	         3.733 MB_IO/op	    623220 spans/op	   3149829 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.status_code)/5       	       3	 437962441 ns/op	         3.984 MB_IO/op	    623220 spans/op	   1422999 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.status_code)/5       	       3	 446078055 ns/op	         3.984 MB_IO/op	    623220 spans/op	   1397110 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.status_code)/5       	       3	 442484252 ns/op	         3.984 MB_IO/op	    623220 spans/op	   1408457 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.status_code)/5       	       3	 453906361 ns/op	         3.984 MB_IO/op	    623220 spans/op	   1373015 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.status_code)/5       	       3	 442590840 ns/op	         3.984 MB_IO/op	    623220 spans/op	   1408118 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.status_code)/5       	       3	 438410643 ns/op	         3.984 MB_IO/op	    623220 spans/op	   1421544 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.status_code)/5       	       3	 437984854 ns/op	         3.984 MB_IO/op	    623220 spans/op	   1422926 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.status_code)/5       	       3	 445903486 ns/op	         3.984 MB_IO/op	    623220 spans/op	   1397657 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.status_code)/5       	       3	 458467169 ns/op	         3.984 MB_IO/op	    623220 spans/op	   1359356 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.status_code)/5       	       3	 444936364 ns/op	         3.984 MB_IO/op	    623220 spans/op	   1400696 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(resource.service.name)/5       	       4	 252375210 ns/op	         3.775 MB_IO/op	    623220 spans/op	   2469420 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(resource.service.name)/5       	       5	 252891082 ns/op	         3.763 MB_IO/op	    623220 spans/op	   2464382 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(resource.service.name)/5       	       4	 253135564 ns/op	         3.775 MB_IO/op	    623220 spans/op	   2462002 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(resource.service.name)/5       	       5	 247661379 ns/op	         3.763 MB_IO/op	    623220 spans/op	   2516421 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(resource.service.name)/5       	       5	 248434764 ns/op	         3.763 MB_IO/op	    623220 spans/op	   2508587 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(resource.service.name)/5       	       5	 254905595 ns/op	         3.763 MB_IO/op	    623220 spans/op	   2444906 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(resource.service.name)/5       	       5	 256957336 ns/op	         3.763 MB_IO/op	    623220 spans/op	   2425384 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(resource.service.name)/5       	       4	 251221638 ns/op	         3.775 MB_IO/op	    623220 spans/op	   2480759 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(resource.service.name)/5       	       4	 250773307 ns/op	         3.775 MB_IO/op	    623220 spans/op	   2485194 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(resource.service.name)/5       	       5	 248798170 ns/op	         3.763 MB_IO/op	    623220 spans/op	   2504923 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.url)/5               	       3	 449224296 ns/op	         3.904 MB_IO/op	    623220 spans/op	   1387325 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.url)/5               	       3	 432431858 ns/op	         3.904 MB_IO/op	    623220 spans/op	   1441199 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.url)/5               	       3	 440667229 ns/op	         3.904 MB_IO/op	    623220 spans/op	   1414265 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.url)/5               	       3	 433657832 ns/op	         3.904 MB_IO/op	    623220 spans/op	   1437124 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.url)/5               	       3	 431842998 ns/op	         3.904 MB_IO/op	    623220 spans/op	   1443164 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.url)/5               	       3	 422439965 ns/op	         3.904 MB_IO/op	    623220 spans/op	   1475287 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.url)/5               	       3	 443834833 ns/op	         3.904 MB_IO/op	    623220 spans/op	   1404171 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.url)/5               	       3	 432942167 ns/op	         3.904 MB_IO/op	    623220 spans/op	   1439500 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.url)/5               	       3	 429475126 ns/op	         3.904 MB_IO/op	    623220 spans/op	   1451121 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.url)/5               	       3	 442241269 ns/op	         3.904 MB_IO/op	    623220 spans/op	   1409231 spans/s
