goos: darwin
goarch: amd64
pkg: github.com/grafana/tempo/tempodb/encoding/vparquet3
cpu: Intel(R) Core(TM) i9-9980HK CPU @ 2.40GHz
BenchmarkBackendBlockTraceQL/spanAttNameNoMatch-16         	     771	   4617884 ns/op	1670.46 MB/s	         7.714 MB_io/op	 2340023 B/op	   20513 allocs/op
BenchmarkBackendBlockTraceQL/spanAttNameNoMatch-16         	     780	   4608452 ns/op	1673.88 MB/s	         7.714 MB_io/op	 2363115 B/op	   20514 allocs/op
BenchmarkBackendBlockTraceQL/spanAttNameNoMatch-16         	     782	   4605543 ns/op	1674.94 MB/s	         7.714 MB_io/op	 2344909 B/op	   20513 allocs/op
BenchmarkBackendBlockTraceQL/spanAttNameNoMatch-16         	     778	   4614384 ns/op	1671.73 MB/s	         7.714 MB_io/op	 2371273 B/op	   20514 allocs/op
BenchmarkBackendBlockTraceQL/spanAttNameNoMatch-16         	     774	   4613920 ns/op	1671.90 MB/s	         7.714 MB_io/op	 2381912 B/op	   20514 allocs/op
BenchmarkBackendBlockTraceQL/spanAttNameNoMatch-16         	     777	   4643662 ns/op	1661.19 MB/s	         7.714 MB_io/op	 2338464 B/op	   20513 allocs/op
BenchmarkBackendBlockTraceQL/spanAttNameNoMatch-16         	     780	   4624604 ns/op	1668.03 MB/s	         7.714 MB_io/op	 2373427 B/op	   20514 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValNoMatch-16          	     769	   4626360 ns/op	1667.40 MB/s	         7.714 MB_io/op	 2371201 B/op	   20518 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValNoMatch-16          	     778	   4612865 ns/op	1672.28 MB/s	         7.714 MB_io/op	 2343926 B/op	   20517 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValNoMatch-16          	     777	   4600104 ns/op	1676.92 MB/s	         7.714 MB_io/op	 2345415 B/op	   20517 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValNoMatch-16          	     778	   4604176 ns/op	1675.44 MB/s	         7.714 MB_io/op	 2343684 B/op	   20517 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValNoMatch-16          	     778	   4620457 ns/op	1669.53 MB/s	         7.714 MB_io/op	 2341104 B/op	   20517 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValNoMatch-16          	     776	   4644580 ns/op	1660.86 MB/s	         7.714 MB_io/op	 2338144 B/op	   20517 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValNoMatch-16          	     781	   4622086 ns/op	1668.94 MB/s	         7.714 MB_io/op	 2377745 B/op	   20518 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValMatch-16            	     781	   4605751 ns/op	1674.86 MB/s	         7.714 MB_io/op	 2339510 B/op	   20510 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValMatch-16            	     778	   4600092 ns/op	1676.92 MB/s	         7.714 MB_io/op	 2321521 B/op	   20510 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValMatch-16            	     780	   4612614 ns/op	1672.37 MB/s	         7.714 MB_io/op	 2332624 B/op	   20510 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValMatch-16            	     777	   4611571 ns/op	1672.75 MB/s	         7.714 MB_io/op	 2350977 B/op	   20510 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValMatch-16            	     777	   4623060 ns/op	1668.59 MB/s	         7.714 MB_io/op	 2353314 B/op	   20510 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValMatch-16            	     778	   4614683 ns/op	1671.62 MB/s	         7.714 MB_io/op	 2371352 B/op	   20511 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValMatch-16            	     744	   4606305 ns/op	1674.66 MB/s	         7.714 MB_io/op	 2327613 B/op	   20510 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicNoMatch-16    	     780	   4604456 ns/op	1123.31 MB/s	         5.172 MB_io/op	 3180976 B/op	   20502 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicNoMatch-16    	     752	   4530616 ns/op	1141.62 MB/s	         5.172 MB_io/op	 3167909 B/op	   20502 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicNoMatch-16    	     788	   4534600 ns/op	1140.62 MB/s	         5.172 MB_io/op	 3170249 B/op	   20502 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicNoMatch-16    	     793	   4572576 ns/op	1131.15 MB/s	         5.172 MB_io/op	 3183687 B/op	   20502 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicNoMatch-16    	     777	   4623682 ns/op	1118.64 MB/s	         5.172 MB_io/op	 3195243 B/op	   20502 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicNoMatch-16    	     758	   4600497 ns/op	1124.28 MB/s	         5.172 MB_io/op	 3196462 B/op	   20502 allocs/op
