PASS
ok  	bufio	0.970s
goos: darwin
goarch: amd64
pkg: github.com/grafana/tempo/tempodb/encoding/vparquet3
cpu: Intel(R) Core(TM) i9-9980HK CPU @ 2.40GHz
BenchmarkBackendBlockTraceQL/spanAttNameNoMatch-16         	     637	   1849784 ns/op	 194.75 MB/s	         0.3603 MB_io/op	 1373054 B/op	   12169 allocs/op
BenchmarkBackendBlockTraceQL/spanAttNameNoMatch-16         	     682	   1808348 ns/op	 199.22 MB/s	         0.3603 MB_io/op	 1373041 B/op	   12169 allocs/op
BenchmarkBackendBlockTraceQL/spanAttNameNoMatch-16         	     637	   1837131 ns/op	 196.10 MB/s	         0.3603 MB_io/op	 1373051 B/op	   12169 allocs/op
BenchmarkBackendBlockTraceQL/spanAttNameNoMatch-16         	     631	   1838310 ns/op	 195.97 MB/s	         0.3603 MB_io/op	 1373038 B/op	   12169 allocs/op
BenchmarkBackendBlockTraceQL/spanAttNameNoMatch-16         	     667	   1869927 ns/op	 192.66 MB/s	         0.3603 MB_io/op	 1373030 B/op	   12169 allocs/op
BenchmarkBackendBlockTraceQL/spanAttNameNoMatch-16         	     644	   1851137 ns/op	 194.61 MB/s	         0.3603 MB_io/op	 1373036 B/op	   12169 allocs/op
BenchmarkBackendBlockTraceQL/spanAttNameNoMatch-16         	     662	   1881589 ns/op	 191.46 MB/s	         0.3603 MB_io/op	 1373026 B/op	   12169 allocs/op
BenchmarkBackendBlockTraceQL/spanAttNameNoMatch-16         	     614	   1857134 ns/op	 193.98 MB/s	         0.3603 MB_io/op	 1373035 B/op	   12169 allocs/op
BenchmarkBackendBlockTraceQL/spanAttNameNoMatch-16         	     625	   1820667 ns/op	 197.87 MB/s	         0.3603 MB_io/op	 1373028 B/op	   12169 allocs/op
BenchmarkBackendBlockTraceQL/spanAttNameNoMatch-16         	     676	   1853247 ns/op	 194.39 MB/s	         0.3603 MB_io/op	 1373032 B/op	   12169 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValNoMatch-16          	     640	   1849551 ns/op	 194.78 MB/s	         0.3603 MB_io/op	 1373057 B/op	   12173 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValNoMatch-16          	     615	   1835399 ns/op	 196.28 MB/s	         0.3603 MB_io/op	 1373061 B/op	   12173 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValNoMatch-16          	     673	   1871865 ns/op	 192.46 MB/s	         0.3603 MB_io/op	 1373060 B/op	   12173 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValNoMatch-16          	     640	   1881640 ns/op	 191.46 MB/s	         0.3603 MB_io/op	 1373069 B/op	   12173 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValNoMatch-16          	     661	   1839903 ns/op	 195.80 MB/s	         0.3603 MB_io/op	 1373080 B/op	   12173 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValNoMatch-16          	     619	   1826533 ns/op	 197.23 MB/s	         0.3603 MB_io/op	 1373079 B/op	   12173 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValNoMatch-16          	     648	   1844714 ns/op	 195.29 MB/s	         0.3603 MB_io/op	 1373068 B/op	   12173 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValNoMatch-16          	     670	   1895293 ns/op	 190.08 MB/s	         0.3603 MB_io/op	 1373072 B/op	   12173 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValNoMatch-16          	     645	   1838947 ns/op	 195.90 MB/s	         0.3603 MB_io/op	 1373070 B/op	   12173 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValNoMatch-16          	     656	   1839174 ns/op	 195.88 MB/s	         0.3603 MB_io/op	 1373077 B/op	   12173 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValMatch-16            	     622	   1853525 ns/op	 194.36 MB/s	         0.3603 MB_io/op	 1374287 B/op	   12166 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValMatch-16            	     640	   1855558 ns/op	 194.15 MB/s	         0.3603 MB_io/op	 1374292 B/op	   12166 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValMatch-16            	     664	   1839594 ns/op	 195.83 MB/s	         0.3603 MB_io/op	 1374299 B/op	   12166 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValMatch-16            	     656	   1852302 ns/op	 194.49 MB/s	         0.3603 MB_io/op	 1374299 B/op	   12166 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValMatch-16            	     654	   1820211 ns/op	 197.92 MB/s	         0.3603 MB_io/op	 1374288 B/op	   12166 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValMatch-16            	     661	   1842651 ns/op	 195.51 MB/s	         0.3603 MB_io/op	 1374287 B/op	   12166 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValMatch-16            	     651	   1830511 ns/op	 196.81 MB/s	         0.3603 MB_io/op	 1374293 B/op	   12166 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValMatch-16            	     657	   1820643 ns/op	 197.87 MB/s	         0.3603 MB_io/op	 1374304 B/op	   12166 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValMatch-16            	     614	   1850470 ns/op	 194.68 MB/s	         0.3603 MB_io/op	 1374295 B/op	   12166 allocs/op
BenchmarkBackendBlockTraceQL/spanAttValMatch-16            	     640	   1834060 ns/op	 196.42 MB/s	         0.3603 MB_io/op	 1374304 B/op	   12166 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicNoMatch-16    	     688	   1824601 ns/op	 197.44 MB/s	         0.3603 MB_io/op	 1369984 B/op	   12121 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicNoMatch-16    	     657	   1827654 ns/op	 197.11 MB/s	         0.3603 MB_io/op	 1369974 B/op	   12121 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicNoMatch-16    	     675	   1843404 ns/op	 195.43 MB/s	         0.3603 MB_io/op	 1370000 B/op	   12121 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicNoMatch-16    	     649	   1815044 ns/op	 198.48 MB/s	         0.3603 MB_io/op	 1369985 B/op	   12121 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicNoMatch-16    	     649	   1806026 ns/op	 199.47 MB/s	         0.3603 MB_io/op	 1369981 B/op	   12121 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicNoMatch-16    	     652	   1831942 ns/op	 196.65 MB/s	         0.3603 MB_io/op	 1369996 B/op	   12121 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicNoMatch-16    	     668	   1843526 ns/op	 195.42 MB/s	         0.3603 MB_io/op	 1369982 B/op	   12121 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicNoMatch-16    	     673	   1801465 ns/op	 199.98 MB/s	         0.3603 MB_io/op	 1369997 B/op	   12121 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicNoMatch-16    	     634	   1851363 ns/op	 194.59 MB/s	         0.3603 MB_io/op	 1369982 B/op	   12121 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicNoMatch-16    	     644	   1826973 ns/op	 197.19 MB/s	         0.3603 MB_io/op	 1369985 B/op	   12121 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicMatch-16      	     681	   1792328 ns/op	 201.00 MB/s	         0.3603 MB_io/op	 1369991 B/op	   12121 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicMatch-16      	     632	   1807870 ns/op	 199.27 MB/s	         0.3603 MB_io/op	 1369994 B/op	   12121 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicMatch-16      	     655	   1822653 ns/op	 197.65 MB/s	         0.3603 MB_io/op	 1370006 B/op	   12121 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicMatch-16      	     660	   1809291 ns/op	 199.11 MB/s	         0.3603 MB_io/op	 1370008 B/op	   12121 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicMatch-16      	     654	   1825857 ns/op	 197.31 MB/s	         0.3603 MB_io/op	 1369996 B/op	   12121 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicMatch-16      	     678	   1800508 ns/op	 200.08 MB/s	         0.3603 MB_io/op	 1370017 B/op	   12121 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicMatch-16      	     646	   1804806 ns/op	 199.61 MB/s	         0.3603 MB_io/op	 1369997 B/op	   12121 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicMatch-16      	     648	   1796172 ns/op	 200.57 MB/s	         0.3603 MB_io/op	 1370016 B/op	   12121 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicMatch-16      	     685	   1803209 ns/op	 199.78 MB/s	         0.3603 MB_io/op	 1370002 B/op	   12121 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicMatch-16      	     648	   1837732 ns/op	 196.03 MB/s	         0.3603 MB_io/op	 1370010 B/op	   12121 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexNoMatch-16         	     642	   1828949 ns/op	 196.97 MB/s	         0.3603 MB_io/op	 1372059 B/op	   12140 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexNoMatch-16         	     681	   1829478 ns/op	 196.92 MB/s	         0.3603 MB_io/op	 1372067 B/op	   12140 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexNoMatch-16         	     657	   1847832 ns/op	 194.96 MB/s	         0.3603 MB_io/op	 1372066 B/op	   12140 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexNoMatch-16         	     673	   1808283 ns/op	 199.22 MB/s	         0.3603 MB_io/op	 1372073 B/op	   12140 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexNoMatch-16         	     615	   1836513 ns/op	 196.16 MB/s	         0.3603 MB_io/op	 1372077 B/op	   12140 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexNoMatch-16         	     662	   1800304 ns/op	 200.11 MB/s	         0.3603 MB_io/op	 1372050 B/op	   12140 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexNoMatch-16         	     646	   1810891 ns/op	 198.94 MB/s	         0.3603 MB_io/op	 1372053 B/op	   12140 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexNoMatch-16         	     612	   1833047 ns/op	 196.53 MB/s	         0.3603 MB_io/op	 1372066 B/op	   12140 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexNoMatch-16         	     662	   1808900 ns/op	 199.16 MB/s	         0.3603 MB_io/op	 1372065 B/op	   12140 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexNoMatch-16         	     668	   1802733 ns/op	 199.84 MB/s	         0.3603 MB_io/op	 1372058 B/op	   12140 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexMatch-16           	     638	   1813942 ns/op	 198.60 MB/s	         0.3603 MB_io/op	 1372454 B/op	   12147 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexMatch-16           	     614	   1841964 ns/op	 195.58 MB/s	         0.3603 MB_io/op	 1372465 B/op	   12147 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexMatch-16           	     649	   1814837 ns/op	 198.50 MB/s	         0.3603 MB_io/op	 1372453 B/op	   12147 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexMatch-16           	     645	   1798726 ns/op	 200.28 MB/s	         0.3603 MB_io/op	 1372474 B/op	   12147 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexMatch-16           	     684	   1816499 ns/op	 198.32 MB/s	         0.3603 MB_io/op	 1372451 B/op	   12147 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexMatch-16           	     638	   1838530 ns/op	 195.95 MB/s	         0.3603 MB_io/op	 1372464 B/op	   12147 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexMatch-16           	     645	   1800632 ns/op	 200.07 MB/s	         0.3603 MB_io/op	 1372457 B/op	   12147 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexMatch-16           	     686	   1801024 ns/op	 200.03 MB/s	         0.3603 MB_io/op	 1372456 B/op	   12147 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexMatch-16           	     646	   1852857 ns/op	 194.43 MB/s	         0.3603 MB_io/op	 1372450 B/op	   12147 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexMatch-16           	     670	   1833153 ns/op	 196.52 MB/s	         0.3603 MB_io/op	 1372456 B/op	   12147 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttNameNoMatch-16               	     673	   1803957 ns/op	 199.70 MB/s	         0.3603 MB_io/op	 1374098 B/op	   12180 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttNameNoMatch-16               	     639	   1817465 ns/op	 198.22 MB/s	         0.3603 MB_io/op	 1374094 B/op	   12180 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttNameNoMatch-16               	     674	   1827998 ns/op	 197.08 MB/s	         0.3603 MB_io/op	 1374115 B/op	   12180 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttNameNoMatch-16               	     638	   1804761 ns/op	 199.61 MB/s	         0.3603 MB_io/op	 1374099 B/op	   12180 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttNameNoMatch-16               	     669	   1793599 ns/op	 200.86 MB/s	         0.3603 MB_io/op	 1374100 B/op	   12180 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttNameNoMatch-16               	     679	   1801870 ns/op	 199.93 MB/s	         0.3603 MB_io/op	 1374103 B/op	   12180 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttNameNoMatch-16               	     657	   1801617 ns/op	 199.96 MB/s	         0.3603 MB_io/op	 1374086 B/op	   12180 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttNameNoMatch-16               	     668	   1824012 ns/op	 197.51 MB/s	         0.3603 MB_io/op	 1374098 B/op	   12180 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttNameNoMatch-16               	     669	   1806105 ns/op	 199.46 MB/s	         0.3603 MB_io/op	 1374089 B/op	   12180 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttNameNoMatch-16               	     646	   1802744 ns/op	 199.84 MB/s	         0.3603 MB_io/op	 1374096 B/op	   12180 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValNoMatch-16                	     656	   1799460 ns/op	 200.20 MB/s	         0.3603 MB_io/op	 1374012 B/op	   12169 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValNoMatch-16                	     637	   1815143 ns/op	 198.47 MB/s	         0.3603 MB_io/op	 1374003 B/op	   12169 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValNoMatch-16                	     640	   1802568 ns/op	 199.86 MB/s	         0.3603 MB_io/op	 1374017 B/op	   12169 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValNoMatch-16                	     681	   1812044 ns/op	 198.81 MB/s	         0.3603 MB_io/op	 1374005 B/op	   12169 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValNoMatch-16                	     662	   1789367 ns/op	 201.33 MB/s	         0.3603 MB_io/op	 1374017 B/op	   12169 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValNoMatch-16                	     678	   1812325 ns/op	 198.78 MB/s	         0.3603 MB_io/op	 1374008 B/op	   12169 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValNoMatch-16                	     632	   1838616 ns/op	 195.94 MB/s	         0.3603 MB_io/op	 1374014 B/op	   12169 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValNoMatch-16                	     663	   1809463 ns/op	 199.09 MB/s	         0.3603 MB_io/op	 1374008 B/op	   12169 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValNoMatch-16                	     672	   1809437 ns/op	 199.10 MB/s	         0.3603 MB_io/op	 1374010 B/op	   12169 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValNoMatch-16                	     666	   1816497 ns/op	 198.32 MB/s	         0.3603 MB_io/op	 1374024 B/op	   12169 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValMatch-16                  	     661	   1789120 ns/op	 201.36 MB/s	         0.3603 MB_io/op	 1373961 B/op	   12160 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValMatch-16                  	     684	   1803091 ns/op	 199.80 MB/s	         0.3603 MB_io/op	 1373952 B/op	   12160 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValMatch-16                  	     648	   1812187 ns/op	 198.80 MB/s	         0.3603 MB_io/op	 1373939 B/op	   12160 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValMatch-16                  	     687	   1857040 ns/op	 193.99 MB/s	         0.3603 MB_io/op	 1373941 B/op	   12160 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValMatch-16                  	     636	   1795290 ns/op	 200.67 MB/s	         0.3603 MB_io/op	 1373956 B/op	   12160 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValMatch-16                  	     643	   1794756 ns/op	 200.73 MB/s	         0.3603 MB_io/op	 1373947 B/op	   12160 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValMatch-16                  	     680	   1815660 ns/op	 198.41 MB/s	         0.3603 MB_io/op	 1373947 B/op	   12160 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValMatch-16                  	     654	   1807388 ns/op	 199.32 MB/s	         0.3603 MB_io/op	 1373960 B/op	   12160 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValMatch-16                  	     628	   1798621 ns/op	 200.29 MB/s	         0.3603 MB_io/op	 1373944 B/op	   12160 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValMatch-16                  	     681	   1808166 ns/op	 199.24 MB/s	         0.3603 MB_io/op	 1373936 B/op	   12160 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicNoMatch-16          	     649	   1829787 ns/op	 196.88 MB/s	         0.3603 MB_io/op	 1372505 B/op	   12149 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicNoMatch-16          	     685	   1814283 ns/op	 198.57 MB/s	         0.3603 MB_io/op	 1372491 B/op	   12149 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicNoMatch-16          	     656	   1812696 ns/op	 198.74 MB/s	         0.3603 MB_io/op	 1372501 B/op	   12149 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicNoMatch-16          	     666	   1799697 ns/op	 200.17 MB/s	         0.3603 MB_io/op	 1372492 B/op	   12149 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicNoMatch-16          	     679	   1809964 ns/op	 199.04 MB/s	         0.3603 MB_io/op	 1372495 B/op	   12149 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicNoMatch-16          	     660	   1815403 ns/op	 198.44 MB/s	         0.3603 MB_io/op	 1372500 B/op	   12149 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicNoMatch-16          	     687	   1800011 ns/op	 200.14 MB/s	         0.3603 MB_io/op	 1372509 B/op	   12149 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicNoMatch-16          	     660	   1814936 ns/op	 198.49 MB/s	         0.3603 MB_io/op	 1372513 B/op	   12149 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicNoMatch-16          	     644	   1827911 ns/op	 197.09 MB/s	         0.3603 MB_io/op	 1372490 B/op	   12149 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicNoMatch-16          	     652	   1820961 ns/op	 197.84 MB/s	         0.3603 MB_io/op	 1372499 B/op	   12149 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicMatch-16            	     644	   1791988 ns/op	 201.04 MB/s	         0.3603 MB_io/op	 1372523 B/op	   12149 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicMatch-16            	     644	   1819479 ns/op	 198.00 MB/s	         0.3603 MB_io/op	 1372518 B/op	   12149 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicMatch-16            	     679	   1815061 ns/op	 198.48 MB/s	         0.3603 MB_io/op	 1372540 B/op	   12149 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicMatch-16            	     668	   1809380 ns/op	 199.10 MB/s	         0.3603 MB_io/op	 1372528 B/op	   12149 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicMatch-16            	     670	   1810534 ns/op	 198.98 MB/s	         0.3603 MB_io/op	 1372530 B/op	   12149 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicMatch-16            	     648	   1826231 ns/op	 197.27 MB/s	         0.3603 MB_io/op	 1372538 B/op	   12149 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicMatch-16            	     656	   1827438 ns/op	 197.14 MB/s	         0.3603 MB_io/op	 1372539 B/op	   12149 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicMatch-16            	     658	   1809659 ns/op	 199.07 MB/s	         0.3603 MB_io/op	 1372526 B/op	   12149 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicMatch-16            	     654	   1833337 ns/op	 196.50 MB/s	         0.3603 MB_io/op	 1372544 B/op	   12149 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicMatch-16            	     636	   1824818 ns/op	 197.42 MB/s	         0.3603 MB_io/op	 1372537 B/op	   12149 allocs/op
BenchmarkBackendBlockTraceQL/mixedNameNoMatch-16                     	     660	   1821174 ns/op	 197.81 MB/s	         0.3603 MB_io/op	 1376922 B/op	   12216 allocs/op
BenchmarkBackendBlockTraceQL/mixedNameNoMatch-16                     	     628	   1849163 ns/op	 194.82 MB/s	         0.3603 MB_io/op	 1376924 B/op	   12216 allocs/op
BenchmarkBackendBlockTraceQL/mixedNameNoMatch-16                     	     654	   1822485 ns/op	 197.67 MB/s	         0.3603 MB_io/op	 1376943 B/op	   12216 allocs/op
BenchmarkBackendBlockTraceQL/mixedNameNoMatch-16                     	     632	   1823803 ns/op	 197.53 MB/s	         0.3603 MB_io/op	 1376939 B/op	   12216 allocs/op
BenchmarkBackendBlockTraceQL/mixedNameNoMatch-16                     	     633	   1823658 ns/op	 197.54 MB/s	         0.3603 MB_io/op	 1376934 B/op	   12216 allocs/op
BenchmarkBackendBlockTraceQL/mixedNameNoMatch-16                     	     583	   1848704 ns/op	 194.87 MB/s	         0.3603 MB_io/op	 1376925 B/op	   12216 allocs/op
BenchmarkBackendBlockTraceQL/mixedNameNoMatch-16                     	     644	   1846408 ns/op	 195.11 MB/s	         0.3603 MB_io/op	 1376932 B/op	   12216 allocs/op
BenchmarkBackendBlockTraceQL/mixedNameNoMatch-16                     	     640	   1803626 ns/op	 199.74 MB/s	         0.3603 MB_io/op	 1376939 B/op	   12216 allocs/op
BenchmarkBackendBlockTraceQL/mixedNameNoMatch-16                     	     673	   1838463 ns/op	 195.95 MB/s	         0.3603 MB_io/op	 1376928 B/op	   12216 allocs/op
BenchmarkBackendBlockTraceQL/mixedNameNoMatch-16                     	     652	   1841521 ns/op	 195.63 MB/s	         0.3603 MB_io/op	 1376938 B/op	   12216 allocs/op
BenchmarkBackendBlockTraceQL/mixedValNoMatch-16                      	     634	   1815777 ns/op	 198.40 MB/s	         0.3603 MB_io/op	 1376949 B/op	   12220 allocs/op
BenchmarkBackendBlockTraceQL/mixedValNoMatch-16                      	     626	   1844948 ns/op	 195.27 MB/s	         0.3603 MB_io/op	 1376971 B/op	   12220 allocs/op
BenchmarkBackendBlockTraceQL/mixedValNoMatch-16                      	     639	   1829562 ns/op	 196.91 MB/s	         0.3603 MB_io/op	 1376971 B/op	   12220 allocs/op
BenchmarkBackendBlockTraceQL/mixedValNoMatch-16                      	     661	   1843368 ns/op	 195.43 MB/s	         0.3603 MB_io/op	 1376954 B/op	   12220 allocs/op
BenchmarkBackendBlockTraceQL/mixedValNoMatch-16                      	     650	   1918815 ns/op	 187.75 MB/s	         0.3603 MB_io/op	 1376969 B/op	   12220 allocs/op
