goos: darwin
goarch: arm64
pkg: github.com/grafana/tempo/tempodb/encoding/vparquet4
cpu: Apple M3 Pro
BenchmarkBackendBlockTraceQL/plain-11         	      42	  27976203 ns/op	 473.05 MB/s	        13.23 MB_io/op	       140.0 count_traces	 6594872 B/op	   90776 allocs/op
BenchmarkBackendBlockTraceQL/plain-11         	      42	  28080184 ns/op	 471.30 MB/s	        13.23 MB_io/op	       140.0 count_traces	 6575341 B/op	   90769 allocs/op
BenchmarkBackendBlockTraceQL/plain-11         	      42	  27972525 ns/op	 473.11 MB/s	        13.23 MB_io/op	       140.0 count_traces	 6999950 B/op	   90786 allocs/op
BenchmarkBackendBlockTraceQL/plain-11         	      42	  28101867 ns/op	 470.94 MB/s	        13.23 MB_io/op	       140.0 count_traces	 6485195 B/op	   90769 allocs/op
BenchmarkBackendBlockTraceQL/plain-11         	      42	  28199588 ns/op	 469.30 MB/s	        13.23 MB_io/op	       140.0 count_traces	 6552730 B/op	   90773 allocs/op
BenchmarkBackendBlockTraceQL/||ed-11          	      21	  54232216 ns/op	 244.03 MB/s	        13.23 MB_io/op	      2569 count_traces	24901997 B/op	  269195 allocs/op
BenchmarkBackendBlockTraceQL/||ed-11          	      21	  54199113 ns/op	 244.18 MB/s	        13.23 MB_io/op	      2569 count_traces	25099411 B/op	  269202 allocs/op
BenchmarkBackendBlockTraceQL/||ed-11          	      21	  54326589 ns/op	 243.60 MB/s	        13.23 MB_io/op	      2569 count_traces	25157719 B/op	  269203 allocs/op
BenchmarkBackendBlockTraceQL/||ed-11          	      20	  57102052 ns/op	 231.76 MB/s	        13.23 MB_io/op	      2569 count_traces	24585670 B/op	  269188 allocs/op
BenchmarkBackendBlockTraceQL/||ed-11          	      20	  54436977 ns/op	 243.11 MB/s	        13.23 MB_io/op	      2569 count_traces	24574851 B/op	  269187 allocs/op
BenchmarkBackendBlockTraceQL/prefix-11        	      25	  46226415 ns/op	 286.29 MB/s	        13.23 MB_io/op	      1909 count_traces	15023581 B/op	  188814 allocs/op
